Time,Cement product,Clinker product,Value
2023,Cement,Clinker,0.7
2024,Cement,Clinker,0.7
2025,Cement,Clinker,0.7
2026,Cement,Clinker,0.7
2027,Cement,Clinker,0.7
2028,Cement,Clinker,0.7
2029,Cement,Clinker,0.7
2030,Cement,Clinker,0.7
2031,Cement,Clinker,0.7
2032,Cement,Clinker,0.7
2033,Cement,Clinker,0.7
2034,Cement,Clinker,0.7
2035,Cement,Clinker,0.7
2036,Cement,Clinker,0.7
2037,Cement,Clinker,0.7
2038,Cement,Clinker,0.7
2039,Cement,Clinker,0.7
2040,Cement,Clinker,0.7
2041,Cement,Clinker,0.7
2042,Cement,Clinker,0.7
2043,Cement,Clinker,0.7
2044,Cement,Clinker,0.7
2045,Cement,Clinker,0.7
2046,Cement,Clinker,0.7
2047,Cement,Clinker,0.7
2048,Cement,Clinker,0.7
2049,Cement,Clinker,0.7
2050,Cement,Clinker,0.7
