Concrete waste,Time,Value
CDW,1950,0.95
CDW,1951,0.95
CDW,1952,0.95
CDW,1953,0.95
CDW,1954,0.95
CDW,1955,0.95
CDW,1956,0.95
CDW,1957,0.95
CDW,1958,0.95
CDW,1959,0.95
CDW,1960,0.95
CDW,1961,0.95
CDW,1962,0.95
CDW,1963,0.95
CDW,1964,0.95
CDW,1965,0.95
CDW,1966,0.95
CDW,1967,0.95
CDW,1968,0.95
CDW,1969,0.95
CDW,1970,0.95
CDW,1971,0.95
CDW,1972,0.95
CDW,1973,0.95
CDW,1974,0.95
CDW,1975,0.95
CDW,1976,0.95
CDW,1977,0.95
CDW,1978,0.95
CDW,1979,0.95
CDW,1980,0.95
CDW,1981,0.95
CDW,1982,0.95
CDW,1983,0.95
CDW,1984,0.95
CDW,1985,0.95
CDW,1986,0.95
CDW,1987,0.95
CDW,1988,0.95
CDW,1989,0.95
CDW,1990,0.95
CDW,1991,0.95
CDW,1992,0.95
CDW,1993,0.95
CDW,1994,0.95
CDW,1995,0.95
CDW,1996,0.95
CDW,1997,0.95
CDW,1998,0.95
CDW,1999,0.95
CDW,2000,0.95
CDW,2001,0.95
CDW,2002,0.95
CDW,2003,0.95
CDW,2004,0.95
CDW,2005,0.95
CDW,2006,0.95
CDW,2007,0.95
CDW,2008,0.95
CDW,2009,0.95
CDW,2010,0.95
CDW,2011,0.95
CDW,2012,0.95
CDW,2013,0.95
CDW,2014,0.95
CDW,2015,0.95
CDW,2016,0.95
CDW,2017,0.95
CDW,2018,0.95
CDW,2019,0.95
CDW,2020,0.95
CDW,2021,0.95
CDW,2022,0.95
CDW,2023,0.95
CDW,2024,0.95
CDW,2025,0.95
CDW,2026,0.95
CDW,2027,0.95
CDW,2028,0.95
CDW,2029,0.95
CDW,2030,0.95
CDW,2031,0.95
CDW,2032,0.95
CDW,2033,0.95
CDW,2034,0.95
CDW,2035,0.95
CDW,2036,0.95
CDW,2037,0.95
CDW,2038,0.95
CDW,2039,0.95
CDW,2040,0.95
CDW,2041,0.95
CDW,2042,0.95
CDW,2043,0.95
CDW,2044,0.95
CDW,2045,0.95
CDW,2046,0.95
CDW,2047,0.95
CDW,2048,0.95
CDW,2049,0.95
CDW,2050,0.95
