Time,Region simple,Cement product,value
1950,EU28,Cement,0.0
1951,EU28,Cement,0.0
1952,EU28,Cement,0.0
1953,EU28,Cement,0.0
1954,EU28,Cement,0.0
1955,EU28,Cement,0.0
1956,EU28,Cement,0.0
1957,EU28,Cement,0.0
1958,EU28,Cement,0.0
1959,EU28,Cement,0.0
1960,EU28,Cement,0.0
1961,EU28,Cement,0.0
1962,EU28,Cement,0.0
1963,EU28,Cement,0.0
1964,EU28,Cement,0.0
1965,EU28,Cement,0.0
1966,EU28,Cement,0.0
1967,EU28,Cement,0.0
1968,EU28,Cement,0.0
1969,EU28,Cement,0.0
1970,EU28,Cement,0.0
1971,EU28,Cement,0.0
1972,EU28,Cement,0.0
1973,EU28,Cement,0.0
1974,EU28,Cement,0.0
1975,EU28,Cement,0.0
1976,EU28,Cement,0.0
1977,EU28,Cement,0.0
1978,EU28,Cement,0.0
1979,EU28,Cement,0.0
1980,EU28,Cement,0.0
1981,EU28,Cement,0.0
1982,EU28,Cement,0.0
1983,EU28,Cement,0.0
1984,EU28,Cement,0.0
1985,EU28,Cement,0.0
1986,EU28,Cement,0.0
1987,EU28,Cement,0.0
1988,EU28,Cement,0.0
1989,EU28,Cement,0.0
1990,EU28,Cement,0.0
1991,EU28,Cement,0.0
1992,EU28,Cement,0.0
1993,EU28,Cement,0.0
1994,EU28,Cement,0.0
1995,EU28,Cement,0.0
1996,EU28,Cement,0.0
1997,EU28,Cement,0.0
1998,EU28,Cement,0.0
1999,EU28,Cement,0.0
2000,EU28,Cement,0.0
2001,EU28,Cement,0.0
2002,EU28,Cement,0.0
2003,EU28,Cement,0.0
2004,EU28,Cement,0.0
2005,EU28,Cement,0.0
2006,EU28,Cement,0.0
2007,EU28,Cement,0.0
2008,EU28,Cement,0.0
2009,EU28,Cement,0.0
2010,EU28,Cement,0.0
2011,EU28,Cement,0.0
2012,EU28,Cement,0.0
2013,EU28,Cement,0.0
2014,EU28,Cement,0.0
2015,EU28,Cement,0.0
2016,EU28,Cement,0.0
2017,EU28,Cement,0.0
2018,EU28,Cement,0.0
2019,EU28,Cement,0.0
2020,EU28,Cement,0.0
2021,EU28,Cement,0.0
2022,EU28,Cement,0.0
2023,EU28,Cement,360218281.6501
2024,EU28,Cement,363784799.2902
2025,EU28,Cement,367351316.93030006
2026,EU28,Cement,370917834.5704
2027,EU28,Cement,374484352.21050006
2028,EU28,Cement,378050869.8506
2029,EU28,Cement,381617387.4907
2030,EU28,Cement,385183905.1308
2031,EU28,Cement,388750422.7709
2032,EU28,Cement,392316940.4110001
2033,EU28,Cement,395883458.0511
2034,EU28,Cement,399449975.6912001
2035,EU28,Cement,403016493.3312999
2036,EU28,Cement,406583010.97139996
2037,EU28,Cement,410149528.6115
2038,EU28,Cement,413716046.25159997
2039,EU28,Cement,417282563.89169997
2040,EU28,Cement,420849081.53180003
2041,EU28,Cement,424415599.1719
2042,EU28,Cement,427982116.81200004
2043,EU28,Cement,431548634.4521
2044,EU28,Cement,435115152.0922
2045,EU28,Cement,438681669.73230004
2046,EU28,Cement,442248187.3724
2047,EU28,Cement,445814705.01250005
2048,EU28,Cement,449381222.6526
2049,EU28,Cement,452947740.29270005
2050,EU28,Cement,456514257.93280005
